Rank,Name,Platform,Year,Genre,Publisher,NA_Sales_M,EU_Sales_M,JP_Sales_M,Other_Sales_M,Global_Sales_M,Regional_Sum,Sales_Diff,log_Global_Sales_M,log_NA_Sales_M,log_EU_Sales_M,log_JP_Sales_M,Era,Publisher_Strength
8994,MLB SlugFest 20-03,GC,2002,Sports,Midway Games,0.11,0.03,0.0,0.0,0.15,0.14,0.009999999999999981,0.13976194237515868,0.10436001532424277,0.0295588022415444,0.0,Transition,0.007830331239266224
8995,Tamagotchi no Appare! Niji Venture,DS,2007,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Shooter Boom,0.028484020967575588
8996,Grabbed by the Ghoulies,XB,2003,Action,Microsoft Game Studios,0.11,0.03,0.0,0.01,0.14,0.15000000000000002,-0.010000000000000009,0.1310282624064041,0.10436001532424277,0.0295588022415444,0.0,Transition,0.027553573590540375
8997,Ys: The Oath in Felghana,PSP,2010,Role-Playing,Falcom Corporation,0.09,0.0,0.04,0.01,0.14,0.14,0.0,0.1310282624064041,0.08617769624105233,0.0,0.039220713153281295,Shooter Boom,0.0001356435332786275
8998,Shadow Hearts: From The New World,PS2,2005,Role-Playing,Ghostlight,0.07,0.06,0.0,0.02,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.06765864847381481,0.058268908123975775,0.0,Shooter Boom,0.0003127648411961742
8999,Mega Man Powered Up,PSP,2006,Platform,Capcom,0.12,0.01,0.0,0.02,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.11332868530700317,0.009950330853168083,0.0,Shooter Boom,0.022520189587060726
9000,CSI: 3 Dimensions of Murder,PS2,2007,Adventure,Ubisoft,0.07,0.06,0.0,0.02,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.06765864847381481,0.058268908123975775,0.0,Shooter Boom,0.053217105882669466
9001,Barbarian,PS2,2002,Fighting,Titus,0.07,0.06,0.0,0.02,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.06765864847381481,0.058268908123975775,0.0,Transition,0.00037217895081408537
9002,QuickSpot,DS,2006,Misc,Namco Bandai Games,0.02,0.0,0.13,0.0,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.019802627296179712,0.0,0.12221763272424921,Shooter Boom,0.028484020967575588
9003,Deception IV: Blood Ties,PSV,2014,Action,Tecmo Koei,0.03,0.03,0.07,0.02,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.0295588022415444,0.0295588022415444,0.06765864847381481,Post-Peak,0.006003067113281407
9004,Tennis no Oji-Sama: Aim at The Victory!,GBA,2002,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Transition,0.031796637834008185
9005,L.A. Rush,XB,2005,Racing,Midway Games,0.11,0.03,0.0,0.01,0.14,0.15000000000000002,-0.010000000000000009,0.1310282624064041,0.10436001532424277,0.0295588022415444,0.0,Shooter Boom,0.007830331239266224
9006,"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Role-Playing,Game Arts,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,RPG Dominance,1.569429310661806e-05
9007,Where the Wild Things Are,DS,2009,Platform,Warner Bros. Interactive Entertainment,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.01725139118698181
9008,Pipe Dreams 3D,PS,2001,Puzzle,Empire Interactive,0.08,0.05,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.07696104113612832,0.04879016416943201,0.0,Transition,0.0012656326369551276
9009,Derby Stallion Gold,3DS,2014,Sports,Kadokawa Shoten,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Post-Peak,0.00042262489294250056
9010,Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,D3Publisher,0.1,0.03,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.09531017980432487,0.0295588022415444,0.0,Post-Peak,0.0027050235190192408
9011,Lost Dimension,PSV,2014,Role-Playing,Nippon Ichi Software,0.07,0.03,0.02,0.03,0.14,0.15000000000000002,-0.010000000000000009,0.1310282624064041,0.06765864847381481,0.0295588022415444,0.019802627296179712,Post-Peak,0.001600817896875042
9012,Fox Sports Golf '99,PS,1997,Sports,Gremlin Interactive Ltd,0.08,0.05,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.07696104113612832,0.04879016416943201,0.0,RPG Dominance,0.00012331230298057047
9013,Jurassic: The Hunted,PS2,2009,Shooter,Activision,0.07,0.06,0.0,0.02,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.06765864847381481,0.058268908123975775,0.0,Shooter Boom,0.08154978902385981
9014,Power Rangers: Super Legends,PS2,2007,Action,Disney Interactive Studios,0.07,0.06,0.0,0.02,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.06765864847381481,0.058268908123975775,0.0,Shooter Boom,0.013447767150499303
9015,Sakura Wars GB,GB,2000,Adventure,Media Factory,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Transition,3.250960714942313e-05
9016,Shining Force CD,SCD,1994,Strategy,Sega,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,RPG Dominance,0.030602750536969026
9017,Rayman 3,GBA,2003,Platform,Ubisoft,0.1,0.04,0.0,0.0,0.14,0.14,0.0,0.1310282624064041,0.09531017980432487,0.039220713153281295,0.0,Transition,0.053217105882669466
9018,Fatal Frame,PS2,2001,Action,Wanadoo,0.07,0.06,0.0,0.02,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.06765864847381481,0.058268908123975775,0.0,Transition,7.286636085215528e-05
9019,The Fifth Element,PS,1998,Action,Sony Computer Entertainment,0.08,0.05,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.07696104113612832,0.04879016416943201,0.0,RPG Dominance,0.06810202187336051
9020,Kung Fu Panda 2,Wii,2011,Action,THQ,0.08,0.05,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.07696104113612832,0.04879016416943201,0.0,Shooter Boom,0.038201030442444536
9021,Fast Food Panic,DS,2010,Simulation,Nobilis,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.0002174780616202788
9022,Diner Dash: Flo on the Go,DS,2009,Puzzle,Zoo Games,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.0005403320912421361
9023,Adrenalin Misfits,X360,2010,Racing,Konami Digital Entertainment,0.12,0.02,0.0,0.01,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.11332868530700317,0.019802627296179712,0.0,Shooter Boom,0.031796637834008185
9024,Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,2009,Adventure,Nintendo,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Shooter Boom,0.20027711637542542
9025,Wild ARMs 4,PS2,2005,Role-Playing,505 Games,0.07,0.06,0.0,0.02,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.06765864847381481,0.058268908123975775,0.0,Shooter Boom,0.0062676280542215395
9026,Haunted House,Wii,2010,Action,Atari,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.01762469115873208
9027,Ratatouille,GC,2007,Action,THQ,0.11,0.03,0.0,0.0,0.14,0.14,0.0,0.1310282624064041,0.10436001532424277,0.0295588022415444,0.0,Shooter Boom,0.038201030442444536
9028,G.I. Joe: The Rise of Cobra,PS2,2009,Action,Electronic Arts,0.11,0.0,0.0,0.03,0.14,0.14,0.0,0.1310282624064041,0.10436001532424277,0.0,0.0,Shooter Boom,0.12446919658671544
9029,Casper: Spirit Dimensions,PS2,2001,Platform,TDK Mediactive,0.07,0.05,0.0,0.02,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.04879016416943201,0.0,Transition,0.0009315683979714005
9030,Super Robot Taisen OG Saga: Endless Frontier (JP sales),DS,2008,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Shooter Boom,0.028484020967575588
9031,Sengoku Musou 3 Empires,PS3,2011,Action,Tecmo Koei,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Shooter Boom,0.006003067113281407
9032,Dream Pinball 3D,Wii,2008,Misc,SouthPeak Games,0.1,0.03,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.09531017980432487,0.0295588022415444,0.0,Shooter Boom,0.0007118482944787477
9033,Thunder Truck Rally,PS,1997,Racing,Psygnosis,0.08,0.05,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.07696104113612832,0.04879016416943201,0.0,RPG Dominance,0.000814982220607952
9034,Dishonored,XOne,2015,Action,Bethesda Softworks,0.08,0.05,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.07696104113612832,0.04879016416943201,0.0,Post-Peak,0.009208065969840052
9035,Klonoa: Empire of Dreams,GBA,2001,Platform,Infogrames,0.1,0.04,0.0,0.0,0.14,0.14,0.0,0.1310282624064041,0.09531017980432487,0.039220713153281295,0.0,Transition,0.001831748209729565
9036,G.I. Joe: The Rise of Cobra,PSP,2009,Action,Electronic Arts,0.11,0.02,0.0,0.02,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.10436001532424277,0.019802627296179712,0.0,Shooter Boom,0.12446919658671544
9037,Dragon Age: Origins - Ultimate Edition,PC,2010,Role-Playing,Electronic Arts,0.0,0.12,0.0,0.02,0.14,0.13999999999999999,2.7755575615628914e-17,0.1310282624064041,0.0,0.11332868530700317,0.0,Shooter Boom,0.12446919658671544
9038,Balloon Pop,DS,2009,Puzzle,UFO Interactive,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.0001076180098739524
9039,Disney Infinity 2.0: Marvel Super Heroes,PSV,2015,Action,Disney Interactive Studios,0.0,0.11,0.0,0.03,0.14,0.14,0.0,0.1310282624064041,0.0,0.10436001532424277,0.0,Post-Peak,0.013447767150499303
9040,Iron & Blood,PS,1996,Fighting,Acclaim Entertainment,0.08,0.05,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.07696104113612832,0.04879016416943201,0.0,RPG Dominance,0.007190228284703445
9041,Asphalt: Urban GT 2,DS,2006,Racing,Ubisoft,0.09,0.04,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.08617769624105233,0.039220713153281295,0.0,Shooter Boom,0.053217105882669466
9042,Pinball Hall of Fame: The Gottlieb Collection,Wii,2006,Misc,System 3 Arcade Software,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.00020178376851366075
9043,Second Sight,PS2,2004,Adventure,Codemasters,0.07,0.05,0.0,0.02,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.04879016416943201,0.0,Transition,0.005366327221527189
9044,Spider-Man: Edge of Time,DS,2011,Action,Activision,0.12,0.01,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.11332868530700317,0.009950330853168083,0.0,Shooter Boom,0.08154978902385981
9045,Monster House,PS2,2006,Adventure,THQ,0.07,0.05,0.0,0.02,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.04879016416943201,0.0,Shooter Boom,0.038201030442444536
9046,Phantom Brave,PS2,2004,Role-Playing,Tecmo Koei,0.07,0.05,0.0,0.02,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.04879016416943201,0.0,Transition,0.006003067113281407
9047,Just Cause,X360,2006,Action,Eidos Interactive,0.1,0.03,0.01,0.01,0.14,0.15000000000000002,-0.010000000000000009,0.1310282624064041,0.09531017980432487,0.0295588022415444,0.009950330853168083,Shooter Boom,0.011095865226378968
9048,ArmA II,PC,2009,Shooter,505 Games,0.0,0.12,0.0,0.03,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.0,0.11332868530700317,0.0,Shooter Boom,0.0062676280542215395
9049,Championship Motocross 2001 featuring Ricky Carmichael,PS,2001,Racing,THQ,0.08,0.05,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.07696104113612832,0.04879016416943201,0.0,Transition,0.038201030442444536
9050,Kenka Banchou 5: Otoko no Housoku,PSP,2011,Action,Spike,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Shooter Boom,0.0006894278757550076
9051,Legend of the Guardians: The Owls of Ga'Hoole,DS,2010,Action,Warner Bros. Interactive Entertainment,0.11,0.02,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.10436001532424277,0.019802627296179712,0.0,Shooter Boom,0.01725139118698181
9052,Doshin the Giant,GC,2002,Simulation,Nintendo,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Transition,0.20027711637542542
9053,Shrek 2 and Shark Tale 2-in-1 Pack,GBA,2005,Misc,Activision,0.1,0.04,0.0,0.0,0.14,0.14,0.0,0.1310282624064041,0.09531017980432487,0.039220713153281295,0.0,Shooter Boom,0.08154978902385981
9054,Star Ocean: Blue Sphere,GB,2001,Role-Playing,Enix Corporation,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Transition,0.003782324638694952
9055,Mojo!,PS2,2003,Puzzle,Mindscape,0.07,0.05,0.0,0.02,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.04879016416943201,0.0,Transition,0.0008676702046087413
9056,Destroy All Humans! Big Willy Unleashed,Wii,2008,Action,THQ,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.038201030442444536
9057,Age of Empires: Collector's Edition,PC,2000,Strategy,Ubisoft,0.02,0.1,0.0,0.02,0.14,0.14,0.0,0.1310282624064041,0.019802627296179712,0.09531017980432487,0.0,Transition,0.053217105882669466
9058,Ford Racing Off Road,PSP,2008,Racing,Xplosiv,0.05,0.08,0.0,0.02,0.14,0.15,-0.009999999999999981,0.1310282624064041,0.04879016416943201,0.07696104113612832,0.0,Shooter Boom,0.0001838474335346687
9059,Kamen Rider Ryuki,PS,2002,Action,Namco Bandai Games,0.0,0.0,0.13,0.01,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.12221763272424921,Transition,0.028484020967575588
9060,Front Mission Alternative,PS,1997,Strategy,SquareSoft,0.0,0.0,0.13,0.01,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.12221763272424921,RPG Dominance,0.006462685697118079
9061,World Championship Poker: Howard Lederer - All In,PSP,2006,Misc,505 Games,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.0062676280542215395
9062,FIFA Soccer 2005,GC,2004,Sports,Electronic Arts,0.11,0.03,0.0,0.0,0.14,0.14,0.0,0.1310282624064041,0.10436001532424277,0.0295588022415444,0.0,Transition,0.12446919658671544
9063,Cave Story 3D,3DS,2011,Platform,Nippon Ichi Software,0.09,0.03,0.01,0.01,0.14,0.14,0.0,0.1310282624064041,0.08617769624105233,0.0295588022415444,0.009950330853168083,Shooter Boom,0.001600817896875042
9064,The Orange Box,PC,2007,Shooter,Electronic Arts,0.0,0.11,0.0,0.03,0.14,0.14,0.0,0.1310282624064041,0.0,0.10436001532424277,0.0,Shooter Boom,0.12446919658671544
9065,Super Dodgeball Brawlers,DS,2008,Sports,Arc System Works,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.00016591109855567662
9066,Victorious Boxers: Revolution,Wii,2007,Fighting,Ubisoft,0.07,0.0,0.06,0.01,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.0,0.058268908123975775,Shooter Boom,0.053217105882669466
9067,Record of Agarest War 2,PS3,2010,Role-Playing,Compile Heart,0.09,0.0,0.04,0.01,0.14,0.14,0.0,0.1310282624064041,0.08617769624105233,0.0,0.039220713153281295,Shooter Boom,0.00015357986825761957
9068,SBK 2011: FIM Superbike World Championship,PS3,2011,Racing,Black Bean Games,0.01,0.1,0.0,0.03,0.14,0.14,0.0,0.1310282624064041,0.009950330853168083,0.09531017980432487,0.0,Shooter Boom,0.00036881588800552435
9069,Power Stone,DC,1998,Fighting,Eidos Interactive,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,RPG Dominance,0.011095865226378968
9070,Jonny Moseley Mad Trix,PS2,2001,Sports,3DO,0.07,0.05,0.0,0.02,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.04879016416943201,0.0,Transition,0.0011344731874212482
9071,Monster Lab,DS,2008,Role-Playing,Eidos Interactive,0.12,0.01,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.11332868530700317,0.009950330853168083,0.0,Shooter Boom,0.011095865226378968
9072,Uta no * Prince-Sama: Repeat,PSP,2011,Adventure,Broccoli,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Shooter Boom,0.00010761800987395239
9073,Senran Kagura Burst: Guren no Sh?jo-tachi,3DS,2012,Action,Marvelous Entertainment,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Post-Peak,0.000261197878131572
9074,MTV Music Generator 3: This Is the Remix,PS2,2004,Misc,Codemasters,0.07,0.05,0.0,0.02,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.04879016416943201,0.0,Transition,0.005366327221527189
9075,Cake Mania 3,DS,2009,Simulation,Majesco Entertainment,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.0018026016653887025
9076,.hack//Link,PSP,2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Shooter Boom,0.028484020967575588
9077,Terminator 3: Rise of the Machines,XB,2003,Action,Atari,0.11,0.03,0.0,0.01,0.14,0.15000000000000002,-0.010000000000000009,0.1310282624064041,0.10436001532424277,0.0295588022415444,0.0,Transition,0.01762469115873208
9078,Star Wars: Knights of the Old Republic,PC,2003,Role-Playing,LucasArts,0.01,0.1,0.0,0.02,0.14,0.13,0.010000000000000009,0.1310282624064041,0.009950330853168083,0.09531017980432487,0.0,Transition,0.009790996856657295
9079,SSX On Tour,XB,2005,Sports,Electronic Arts,0.11,0.03,0.0,0.01,0.14,0.15000000000000002,-0.010000000000000009,0.1310282624064041,0.10436001532424277,0.0295588022415444,0.0,Shooter Boom,0.12446919658671544
9080,NCAA College Basketball 2K3,XB,2002,Sports,Sega,0.11,0.03,0.0,0.01,0.14,0.15000000000000002,-0.010000000000000009,0.1310282624064041,0.10436001532424277,0.0295588022415444,0.0,Transition,0.030602750536969026
9081,Class of Heroes,PSP,2008,Role-Playing,Acquire,0.06,0.0,0.08,0.01,0.14,0.15000000000000002,-0.010000000000000009,0.1310282624064041,0.058268908123975775,0.0,0.07696104113612832,Shooter Boom,0.00011994924017200945
9082,Yogi Bear: The Video Game,DS,2010,Action,D3Publisher,0.1,0.03,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.09531017980432487,0.0295588022415444,0.0,Shooter Boom,0.0027050235190192408
9083,Our House Party!,Wii,2007,Simulation,Unknown,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.005553537717870418
9084,The Legend of Heroes II: Prophecy of the Moonlight Witch,PSP,2004,Role-Playing,Namco Bandai Games,0.03,0.0,0.11,0.0,0.14,0.14,0.0,0.1310282624064041,0.0295588022415444,0.0,0.10436001532424277,Transition,0.028484020967575588
9085,Cranium Kabookii,Wii,2007,Misc,Ubisoft,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.053217105882669466
9086,Hero's Saga Laevatein Tactics,DS,2008,Role-Playing,GungHo,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.0003531215948989063
9087,Doom,GBA,2001,Shooter,Activision,0.1,0.04,0.0,0.0,0.14,0.14,0.0,0.1310282624064041,0.09531017980432487,0.039220713153281295,0.0,Transition,0.08154978902385981
9088,Gundam Breaker 2,PS3,2014,Action,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Post-Peak,0.028484020967575588
9089,TRINITY: Souls of Zill O'll,PS3,2010,Role-Playing,Ubisoft Annecy,0.06,0.03,0.03,0.02,0.14,0.13999999999999999,2.7755575615628914e-17,0.1310282624064041,0.058268908123975775,0.0295588022415444,0.0295588022415444,Shooter Boom,0.0004999753375394038
9090,Mary-Kate and Ashley: Winners Circle,PS,2001,Action,Acclaim Entertainment,0.08,0.05,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.07696104113612832,0.04879016416943201,0.0,Transition,0.007190228284703445
9091,PaRappa The Rapper 2,PS2,2001,Misc,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.04879016416943201,0.0,Transition,0.06810202187336051
9092,Hexyz Force,PSP,2009,Role-Playing,Atlus,0.07,0.0,0.06,0.01,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.0,0.058268908123975775,Shooter Boom,0.0014281806727022433
9093,OutRun 2,XB,2004,Racing,Sega,0.11,0.03,0.0,0.01,0.14,0.15000000000000002,-0.010000000000000009,0.1310282624064041,0.10436001532424277,0.0295588022415444,0.0,Transition,0.030602750536969026
9094,Okami,PS3,2012,Action,Capcom,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Post-Peak,0.022520189587060726
9095,Marvel vs. Capcom 2: New Age of Heroes,DC,2000,Fighting,Virgin Interactive,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Transition,0.004917918847052387
9096,Hitman: Blood Money,XB,2006,Action,Eidos Interactive,0.11,0.03,0.0,0.01,0.14,0.15000000000000002,-0.010000000000000009,0.1310282624064041,0.10436001532424277,0.0295588022415444,0.0,Shooter Boom,0.011095865226378968
9097,Soukaigi,PS,1998,Role-Playing,SquareSoft,0.0,0.0,0.13,0.01,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.12221763272424921,RPG Dominance,0.006462685697118079
9098,Naruto Shippuden: Ninja Destiny 3,DS,2006,Fighting,D3Publisher,0.0,0.01,0.13,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.009950330853168083,0.12221763272424921,Shooter Boom,0.0027050235190192408
9099,Xevious 3D/G+,PS,1997,Shooter,Sony Computer Entertainment,0.01,0.01,0.11,0.01,0.14,0.14,0.0,0.1310282624064041,0.009950330853168083,0.009950330853168083,0.10436001532424277,RPG Dominance,0.06810202187336051
9100,Pipe Mania,PS2,2008,Puzzle,Empire Interactive,0.07,0.05,0.0,0.02,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.04879016416943201,0.0,Shooter Boom,0.0012656326369551276
9101,Gretzky NHL 06,PSP,2005,Sports,Sony Computer Entertainment,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.06810202187336051
9102,Shonen Jump's Shaman King: Master of Spirits,GBA,2004,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0,0.14,0.14,0.0,0.1310282624064041,0.09531017980432487,0.039220713153281295,0.0,Transition,0.031796637834008185
9103,PANGYA: Fantasy Golf,PSP,2009,Sports,Takara Tomy,0.09,0.0,0.04,0.01,0.14,0.14,0.0,0.1310282624064041,0.08617769624105233,0.0,0.039220713153281295,Shooter Boom,0.00030267565277049117
9104,NFL Blitz 20-03,XB,2002,Sports,Midway Games,0.11,0.03,0.0,0.01,0.14,0.15000000000000002,-0.010000000000000009,0.1310282624064041,0.10436001532424277,0.0295588022415444,0.0,Transition,0.007830331239266224
9105,Sumikko Gurashi: Omise Hajimerundesu,3DS,2015,Action,Nippon Columbia,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Post-Peak,0.00010649698893776541
9106,Pirates: The Legend of Black Kat,PS2,2002,Adventure,Electronic Arts,0.07,0.05,0.0,0.02,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.04879016416943201,0.0,Transition,0.12446919658671544
9107,Fur Fighters: Viggo's Revenge,PS2,2001,Action,Acclaim Entertainment,0.07,0.05,0.0,0.02,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.04879016416943201,0.0,Transition,0.007190228284703445
9108,Krull,2600,1982,Action,Atari,0.13,0.01,0.0,0.0,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.009950330853168083,0.0,Early Emergence,0.01762469115873208
9109,Yu-Gi-Oh! Monster Capture GB,GB,2000,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.1310282624064041,0.0,0.0,0.1310282624064041,Transition,0.031796637834008185
9110,Risen,PC,2009,Role-Playing,Deep Silver,0.0,0.11,0.0,0.03,0.14,0.14,0.0,0.1310282624064041,0.0,0.10436001532424277,0.0,Shooter Boom,0.00287766074319204
9111,Top Spin 3,DS,2008,Action,D3Publisher,0.11,0.02,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.10436001532424277,0.019802627296179712,0.0,Shooter Boom,0.0027050235190192408
9112,Zapper: One Wicked Cricket!,GBA,2002,Platform,Infogrames,0.1,0.04,0.0,0.0,0.14,0.14,0.0,0.1310282624064041,0.09531017980432487,0.039220713153281295,0.0,Transition,0.001831748209729565
9113,The Da Vinci Code,PS2,2006,Action,Take-Two Interactive,0.07,0.05,0.0,0.02,0.14,0.14,0.0,0.1310282624064041,0.06765864847381481,0.04879016416943201,0.0,Shooter Boom,0.04478927048441557
9114,Watch Dogs,WiiU,2014,Action,Ubisoft,0.08,0.05,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.07696104113612832,0.04879016416943201,0.0,Post-Peak,0.053217105882669466
9115,Mr. Driller: Drill Spirits,DS,2004,Puzzle,Nintendo,0.08,0.0,0.05,0.01,0.14,0.14,0.0,0.1310282624064041,0.07696104113612832,0.0,0.04879016416943201,Transition,0.20027711637542542
9116,Arctic Tale,DS,2007,Adventure,Zoo Digital Publishing,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.0014427539448726742
9117,Scooby-Doo! Night of 100 Frights,XB,2003,Platform,THQ,0.11,0.03,0.0,0.01,0.14,0.15000000000000002,-0.010000000000000009,0.1310282624064041,0.10436001532424277,0.0295588022415444,0.0,Transition,0.038201030442444536
9118,MX vs. ATV Reflex,DS,2009,Racing,THQ,0.13,0.0,0.0,0.01,0.14,0.14,0.0,0.1310282624064041,0.12221763272424921,0.0,0.0,Shooter Boom,0.038201030442444536
